0	3	1274	1178	1274	13
0	2	1089	1089	952	1260
0	0	319	121	435	706
0	1	65	78	316	1268
1	1	375	582	244	664
1	3	1145	1034	1058	572
0	3	1081	1284	1009	68
0	2	1173	832	1209	919
0	1	223	132	241	1205
0	0	253	0	313	654
0	0	127	121	145	146
0	2	846	977	1173	871
0	3	1023	1124	672	63
0	1	223	132	241	1204
1	2	1035	1053	1087	1143
1	3	779	612	1190	935
1	0	191	136	324	594
1	1	250	274	332	37
2	2	1124	1175	1137	208
2	3	1152	1223	1123	320
2	0	145	185	420	158
0	1	132	244	240	205
0	3	1172	1285	1281	510
0	2	1197	1185	1173	144
0	2	1173	1208	1204	222
0	2	1173	1208	1204	95
0	3	911	1028	1025	221
0	1	77	395	69	250
0	2	1173	1208	1204	903
0	3	1178	1172	762	152
0	1	225	234	126	267
0	0	160	163	121	30
1	3	1174	1307	987	47
1	1	458	405	416	433
1	0	287	418	245	1285
1	2	1217	1169	1182	1012
2	3	1094	945	937	875
2	1	102	69	178	462
2	2	876	1026	653	639
2	0	72	230	97	547
3	3	1151	1026	1040	481
3	0	138	4	113	88
3	1	91	208	68	553
3	2	950	1095	1065	1137
0	3	1034	1124	618	948
0	2	1173	1167	1195	1003
0	1	132	138	240	533
1	0	153	135	47	735
1	1	192	113	188	504
1	3	1013	1106	1145	1243
1	2	819	1000	1017	682
2	2	1124	1175	1137	149
0	2	1089	1095	1071	1195
0	0	121	182	139	387
0	3	793	634	1124	169
0	1	132	482	773	599
1	3	1174	1307	987	760
1	0	135	305	183	78
1	1	244	250	248	939
1	2	1175	1233	1043	1289
2	3	1094	945	937	155
2	1	60	63	96	403
2	2	1026	1028	1003	493
2	0	277	279	145	805
3	3	1199	1297	1014	214
3	2	971	1095	950	142
3	0	202	349	167	377
3	1	193	475	418	557
0	0	127	121	145	663
0	1	144	245	132	773
0	3	1088	1094	1082	184
0	2	1095	931	821	11
0	3	1291	1190	1172	182
0	0	127	133	145	325
0	3	1020	1124	1076	57
0	0	15	1	4	264
0	2	1195	1167	1180	165
0	1	77	72	131	205
1	0	239	406	264	30
1	3	1198	1192	1180	341
1	2	1088	1088	1090	902
1	1	215	494	213	192
2	2	1124	1175	1137	173
2	1	102	65	96	438
2	0	16	97	185	391
2	3	1123	1158	1221	140
0	3	1094	1052	1076	177
0	2	1077	931	1089	2
0	2	164	1173	1192	165
0	3	1286	1172	1274	706
0	0	151	121	133	197
0	2	1198	1194	1167	980
0	3	1189	1272	1275	575
0	1	126	132	136	1146
0	0	153	148	127	1045
1	3	925	1146	765	176
1	1	225	199	216	435
1	2	1053	1088	898	97
0	2	1173	1232	1204	144
0	1	236	126	119	231
0	0	1	158	8	192
0	3	1058	1094	1000	231
1	0	135	153	264	230
1	1	494	189	209	758
1	3	1307	1210	1180	58
1	2	1029	1137	1088	579
2	2	1124	1175	1137	82
0	1	138	132	242	332
0	3	1178	1178	1051	148
0	2	1173	1173	1202	326
0	0	1	17	39	1175
1	0	382	430	533	25
1	1	213	72	203	640
1	3	1307	1180	19	406
1	2	1087	1077	353	806
2	3	1128	1129	1141	266
0	1	77	76	72	1197
0	2	1207	1173	1241	84
0	3	1070	1070	534	98
0	0	0	413	168	361
1	0	239	406	685	555
1	3	1167	1180	569	734
1	1	411	250	374	1187
1	2	845	1175	1229	360
2	0	10	13	91	148
2	2	1118	708	753	377
2	3	1095	990	1002	203
0	1	132	511	130	959
0	0	127	177	149	1291
0	3	1011	1124	1094	723
0	2	1173	1194	1193	60
1	1	244	348	331	813
1	3	1146	965	645	1263
1	2	1091	1029	1088	893
0	3	1278	1172	1184	351
0	2	1173	1199	1187	1
0	0	127	545	628	496
0	1	126	230	243	598
1	0	239	406	264	150
1	2	622	1088	838	580
1	3	1146	665	909	754
1	1	215	209	213	292
2	2	1124	1175	1137	235
2	3	1135	1129	1147	1119
2	0	145	311	877	516
2	1	212	292	403	1286
3	1	334	185	394	647
3	2	1200	1212	1118	609
3	0	263	113	103	521
3	3	1001	1027	1094	276
0	2	1173	1208	1196	1132
0	3	1282	1172	1287	206
0	1	244	132	125	515
1	2	1087	944	1035	925
1	1	272	312	204	142
1	0	264	159	483	681
2	3	1094	945	937	171
2	2	1174	846	1118	182
2	0	97	10	97	106
2	1	74	243	74	770
3	1	86	124	275	74
3	0	186	304	340	646
0	2	939	1095	784	315
0	3	1178	788	1184	202
0	3	1178	1172	1286	527
0	2	1192	1193	1167	223
0	0	1	7	53	279
0	1	77	67	78	588
1	0	135	321	316	918
1	3	1304	1282	1174	183
1	1	215	213	209	172
2	2	1174	1171	1118	710
2	0	97	79	18	493
2	1	66	205	102	364
2	3	954	940	461	843
3	1	520	411	193	202
3	3	1205	709	1306	647
3	0	304	167	176	60
3	2	1095	951	992	107
0	1	132	241	245	642
0	2	1220	1173	480	20
0	3	1172	796	1290	17
1	0	135	153	157	78
1	3	1204	1180	211	942
1	2	1169	1187	1193	279
1	1	454	250	250	748
2	2	1124	1175	1137	701
2	3	940	672	723	569
2	1	227	102	61	337
2	0	145	213	246	1143
3	3	1088	1151	1025	199
3	0	202	186	127	584
3	1	565	651	281	382
3	2	920	1029	1089	170
0	3	1178	1075	1291	1235
0	0	146	139	121	487
0	1	75	274	78	476
1	3	1146	1002	1008	1144
1	2	1088	949	943	730
0	3	1274	1178	995	185
0	2	1167	1200	1224	422
0	1	193	192	78	1128
0	0	161	319	127	200
0	3	1094	915	1027	363
0	2	1191	1185	1167	705
1	2	1023	1087	944	582
1	3	1180	1313	1301	789
1	1	215	207	199	674
1	0	425	412	239	1142
2	2	1124	1175	1137	270
2	1	102	71	112	34
2	0	2	12	91	141
2	3	952	1095	954	431
3	2	952	1095	1077	16
3	1	193	327	413	285
3	3	1205	1205	1302	498
3	0	186	186	264	618
0	3	1025	1124	1058	545
0	2	1126	1132	1173	316
0	0	127	318	420	105
0	1	126	242	138	659
1	0	239	406	753	169
0	0	127	149	145	1254
0	3	1094	1070	1082	195
0	1	144	132	138	213
0	2	16	1167	1179	387
1	3	1146	1002	1008	517
1	2	1087	1091	379	177
1	1	216	747	231	139
1	0	239	655	333	442
0	0	8	1	8	397
0	1	227	126	132	210
0	2	931	1095	1089	977
1	0	135	153	139	907
1	2	1091	906	1088	956
1	3	1143	1052	1146	60
2	2	1124	1175	1137	270
2	3	1095	940	996	357
0	0	127	121	145	1239
0	2	1185	1191	1173	217
0	1	78	500	136	163
0	2	1173	1208	1204	1212
0	3	1009	1172	1190	218
0	1	132	126	240	124
0	0	127	207	141	456
1	0	239	406	264	536
1	3	1312	1180	1038	224
1	2	1017	802	1087	342
0	3	1028	1052	1094	1218
0	2	1180	1173	952	968
0	0	152	177	151	975
0	1	138	225	132	984
1	0	239	406	264	725
1	2	1222	1175	1221	1240
1	3	1180	1316	1180	144
1	1	205	216	210	1143
2	2	1124	1175	1137	389
2	3	1095	1014	665	686
2	0	213	587	44	563
0	2	1204	1173	1201	449
0	1	119	61	77	294
0	0	121	148	177	568
0	3	1020	630	1124	216
1	2	1087	944	1035	1102
1	1	224	180	216	798
2	3	1094	945	937	291
2	1	70	67	96	219
2	2	1184	1124	1169	347
2	0	341	145	253	152
3	1	124	90	118	215
3	2	1103	1200	1248	522
3	0	167	320	304	836
3	3	1046	1151	1094	710
0	0	150	146	127	249
0	3	923	1070	1094	198
0	2	1167	1173	807	412
1	1	244	411	398	1214
1	3	934	1144	1146	894
2	2	1124	1175	1137	594
2	3	1095	972	433	971
0	3	423	1051	1124	204
0	0	127	121	150	942
0	1	243	126	240	1064
0	2	1186	1167	1233	980
0	3	1178	1123	895	520
1	2	1229	1227	1169	559
1	3	1309	1300	1007	1186
1	1	237	312	215	758
1	0	136	143	127	939
2	2	1124	998	1124	312
2	0	145	150	145	152
2	1	102	192	101	22
2	3	942	1094	946	85
0	1	236	132	244	1106
0	0	13	0	36	864
0	3	1094	785	243	1197
1	0	239	406	264	443
1	1	203	215	267	162
1	3	874	1145	581	453
1	2	1059	1091	1087	466
0	2	1089	1065	1041	866
0	0	146	139	121	201
0	1	132	126	240	270
0	3	882	883	1018	119
1	3	1146	1002	1002	159
1	2	1087	1087	942	57
1	0	349	406	245	137
1	1	987	215	1128	553
2	3	850	939	96	532
2	2	1118	1033	1201	440
0	3	1178	1190	1020	247
0	2	904	929	956	1095
0	0	92	1	198	934
0	1	77	446	54	65
1	0	239	406	288	280
1	1	203	215	198	279
0	3	1178	1287	1286	98
0	2	1192	1173	1167	222
0	0	152	165	127	631
1	2	1219	1169	1205	166
1	1	215	209	213	564
1	3	1180	1192	1216	1222
1	0	152	137	136	185
0	3	1290	1286	1172	1286
0	2	616	1095	1059	912
0	0	110	8	0	194
1	0	135	153	264	1076
1	1	494	189	209	889
1	2	1226	1199	1175	55
1	3	1146	1064	1009	101
2	3	1094	945	937	446
2	0	12	97	97	342
2	1	68	102	102	367
2	2	1118	1176	1176	243
0	0	154	127	128	837
0	3	1178	1286	1274	727
0	1	101	231	78	192
0	2	1095	782	1011	286
1	2	1087	944	1035	831
0	3	1094	1124	1076	192
0	2	1185	1191	1173	458
0	1	138	132	144	178
0	0	10	9	0	884
1	2	1087	922	526	345
1	0	382	239	407	624
0	2	1089	892	1065	782
0	3	1094	1020	1004	761
0	0	161	127	165	1116
1	0	135	153	264	230
1	2	1175	1221	1200	169
1	3	893	1145	1005	465
2	2	1124	1175	1137	836
2	0	2	91	85	374
2	3	1129	1129	1135	85
2	1	466	244	220	535
3	3	1020	1006	1094	557
3	1	124	597	85	686
3	2	951	1095	1065	482
3	0	14	113	132	242
0	0	127	184	145	331
0	1	126	206	244	1260
0	2	1095	982	445	1064
1	3	925	1146	18	208
1	1	201	213	311	215
1	0	490	170	146	490
2	3	1094	945	937	267
2	2	1118	1168	1121	67
0	3	1094	1019	1046	410
0	1	238	235	200	126
0	0	152	127	122	549
0	2	1089	1053	1047	196
1	3	1146	925	1008	664
1	1	461	268	244	491
1	0	135	146	148	452
1	2	1035	1088	1059	375
2	2	1124	1175	1137	208
2	3	978	1094	1014	37
0	2	1089	1232	725	626
0	3	568	1023	679	444
0	1	225	144	132	113
0	0	247	121	152	235
1	2	1087	944	1035	227
0	2	1173	1238	704	639
0	3	1052	1178	927	784
0	1	535	232	132	148
0	0	171	1	43	598
1	0	135	153	264	109
1	2	1088	155	1047	937
0	2	1173	1195	1191	1230
0	3	1124	1026	1070	241
0	0	127	151	145	1252
0	1	132	242	144	1006
1	2	1087	944	1035	39
1	1	453	244	339	901
1	0	147	154	135	238
2	2	1124	1175	1137	230
0	2	1173	1208	1204	1246
0	0	121	121	259	35
0	2	1173	1208	1204	212
0	3	1094	1046	600	131
0	0	11	160	29	461
0	2	127	1167	1173	624
0	0	157	127	111	269
0	3	1076	1124	1088	1246
1	0	239	406	434	161
1	3	1305	1180	1317	17
1	1	202	215	210	518
1	2	1053	1088	1053	1003
2	2	1124	1175	1137	437
2	3	952	740	1095	582
2	0	277	253	145	424
2	1	75	75	96	324
3	1	124	90	99	792
3	0	29	203	103	291
3	2	967	972	1089	1122
3	3	1199	1217	1199	127
0	2	1173	1208	1204	95
0	3	1282	1172	1190	374
0	2	1089	937	1041	65
0	3	1282	1172	1287	157
0	1	132	228	233	208
0	0	121	161	140	169
1	3	1146	1002	1008	720
1	2	949	1088	1053	117
1	1	244	1020	328	637
0	2	785	1089	775	485
0	1	77	66	101	1172
0	3	1040	1124	1124	1254
0	0	127	93	150	159
0	1	241	516	126	2
0	2	950	1095	928	390
0	3	1172	1172	1172	1149
1	1	244	411	331	1094
1	0	427	400	239	44
1	2	1087	1059	1043	852
1	3	776	1145	929	466
2	3	1094	945	937	270
2	2	1169	876	1118	112
2	0	213	181	415	429
2	1	220	206	258	780
3	0	186	280	316	55
3	3	1304	1199	1199	551
3	2	979	1089	747	68
3	1	124	81	84	597
0	2	1173	1192	1191	158
0	3	1082	1094	761	166
0	0	121	127	151	635
0	1	241	242	132	209
1	0	239	406	288	96
1	3	819	917	1146	263
1	2	1227	1227	1175	253
0	1	132	126	245	460
0	0	127	121	139	574
0	3	1094	1088	751	1049
0	2	226	931	1089	1284
1	2	1087	922	959	1266
1	3	1145	901	393	407
1	0	245	376	291	1170
1	1	121	264	216	1022
2	2	1026	896	871	650
2	1	72	75	102	915
2	3	940	1095	429	698
2	0	253	213	222	435
3	2	1244	1218	1200	463
3	3	1064	881	1094	560
3	1	439	193	378	734
3	0	119	119	18	68
0	2	1095	1041	929	1015
0	0	151	121	156	217
0	1	107	78	50	191
0	3	1064	1058	1094	211
0	0	164	121	202	643
0	2	557	1095	791	378
1	3	1307	1174	68	315
1	2	1077	943	1087	1005
1	0	159	136	142	581
0	3	1019	1094	1027	664
0	2	924	731	1095	390
0	0	1	155	86	146
0	1	107	234	78	777
1	0	239	406	434	228
1	1	381	250	332	343
1	3	1034	1064	1145	1115
1	2	1023	1087	1043	1116
2	2	1124	1175	1137	149
2	1	201	289	211	510
2	3	687	672	1094	189
2	0	16	97	653	82
3	0	1004	167	176	489
3	2	1089	646	728	883
3	3	1094	1151	760	815
3	1	193	193	285	535
0	2	1173	1072	1191	12
0	1	119	77	100	187
0	3	797	1124	1094	793
0	0	1	361	84	707
1	2	1182	1169	1274	104
1	0	140	136	252	235
1	1	7	38	120	138
1	3	1022	1144	1146	881
2	2	1124	1175	1137	208
2	3	1135	1165	1123	899
2	0	85	276	15	264
2	1	212	614	163	476
3	0	119	10	292	214
0	1	132	335	443	208
0	1	119	516	77	708
0	3	1124	704	608	319
0	2	1089	829	1051	4
0	0	127	121	127	918
1	0	239	406	264	214
1	2	1029	1088	1035	500
1	3	776	782	619	898
1	1	183	215	205	379
2	3	1094	945	937	528
2	2	1174	720	1118	334
2	1	102	380	44	900
2	0	221	145	53	321
0	2	1199	1173	958	1261
0	0	246	121	234	325
0	1	329	126	208	455
0	3	1058	1094	678	731
0	1	83	77	131	272
0	3	1064	1026	1094	1229
0	0	139	150	121	73
0	2	1095	645	1041	245
1	0	239	406	434	867
1	2	1035	796	1088	267
1	3	807	1146	1007	58
2	2	1124	1175	1137	173
2	3	1095	972	561	124
2	0	280	145	217	120
0	3	1178	1274	1278	593
0	2	913	1095	1041	667
0	1	132	235	136	536
1	0	135	140	319	437
0	3	1190	490	388	114
0	0	127	420	574	174
