%# iteration evaluations sigma idxmaxSD idxminSD SDs=sigma*sqrt(diag(C)) (randomSeed=1620941652968, Thu May 13 16:34:13 CDT 2021)

0 0 0.2 1 1 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 
1 10 0.20479442066788983 7 4 0.20279302165997376 0.20501003796127576 0.20578482498981582 0.20221496142285478 0.2052033100543198 0.20315762194707773 0.21962147394153037 0.2026930236108692 0.20268514650335734 0.20554592089790774 
2 20 0.22393886232394586 7 8 0.22366956832204352 0.22303000866031047 0.22716767476072935 0.22314205606165796 0.22637462640330777 0.21968530333896855 0.2506369744686467 0.21961991387328134 0.22018014026245505 0.22742346745235661 
3 30 0.22354060080194954 7 8 0.22177420134465406 0.2207683017598829 0.22534280810959653 0.22469289630094655 0.22596404407632945 0.21917867298763385 0.2503821781111004 0.21840060628646418 0.22208514695147777 0.22786344119496207 
4 40 0.23435410980323587 7 8 0.23317353572187913 0.2281641408247408 0.23656037294952878 0.2341691422294099 0.23468191371465535 0.23127741053888343 0.262122881927939 0.22596523498832308 0.23350364462058465 0.24732262341034758 
5 50 0.2460767238587127 7 8 0.24381677280700975 0.23778474297140872 0.24963439894361594 0.24392575553008425 0.24451678917965025 0.24011091436329232 0.27916282813712795 0.23496706253109448 0.24317626584776383 0.2666332592707382 
6 60 0.23751001439194244 7 2 0.23318585107856646 0.22661997655216884 0.24129003978628083 0.23959124087492445 0.23444109124894735 0.22852118183439896 0.2684476962290955 0.22732831751727087 0.23572884888401083 0.2584173081108932 
7 70 0.3948998717330208 7 8 0.3965409430573582 0.37583075992118326 0.3963427831104627 0.395043384886708 0.3864477822806685 0.37526797896058417 0.45442446715032686 0.37394532346148257 0.40054721872088717 0.43804657223220844 
8 80 0.44507486791490375 7 8 0.44300389550454505 0.4273107576581327 0.4674958669873127 0.4476946739801332 0.4368871538837205 0.4323435211958853 0.5182026216264922 0.4189505138320536 0.4520129233495533 0.4958414931254904 
9 90 0.4823792944376767 7 8 0.47375135695103904 0.4588788967356294 0.5091631947354938 0.48557053220242014 0.4800200859571349 0.47058793176259933 0.5662332091554446 0.4495073665357648 0.485800788045125 0.531729307213383 
10 100 0.7619916692335162 7 8 0.7419048882999414 0.7209901772389306 0.8119552251033636 0.7732917110220895 0.7531973903114167 0.7453071901429353 0.9014376202747076 0.7102064453373932 0.774082706134048 0.8300966779051613 
